epoch,train_loss,val_loss,val_sp_acc,val_host_acc,val_geo_acc,train_sp_acc,train_host_acc,train_geo_acc
1,3.0243,2.4429,0.789,0.728,0.723,,,
2,1.4152136777317927,1.8280683984291526,0.8764172335600907,0.7834467120181405,0.6643990929705216,0.8565962873742383,0.7651976760663172,0.6976052146804591
3,1.0344674019920297,1.1948807483492525,0.9285714285714286,0.8310657596371882,0.7414965986394558,0.908176278872042,0.8118180529970243,0.7218364744225592
4,0.7785209273652617,1.1205395477023525,0.9410430839002267,0.8854875283446711,0.7278911564625851,0.944877426668556,0.8602805724812244,0.7554201502054697
5,0.6343076763463726,1.149590031427591,0.9399092970521542,0.8707482993197279,0.7755102040816326,0.9655661045770157,0.8734589769023664,0.7782343772141136
6,0.5328216547423844,1.0348169863680188,0.953514739229025,0.8752834467120182,0.7947845804988662,0.9749185206178262,0.8896131500637665,0.7996315714893014
7,0.45243892595472823,0.8694738848578363,0.9648526077097506,0.9036281179138322,0.7811791383219955,0.9828539039251807,0.9086013886920787,0.8105427235369137
8,0.3875170871691953,0.8024899996141323,0.9659863945578231,0.9070294784580499,0.7947845804988662,0.9869632988522035,0.9257474847668982,0.828822445798498
9,0.33624841317041404,0.8183898783527535,0.9625850340136054,0.9138321995464853,0.8027210884353742,0.9905058806858439,0.9338245713475981,0.8448349156865523
10,0.30734504084620795,0.7965773826807129,0.9671201814058957,0.9138321995464853,0.8049886621315193,0.9916395068726087,0.9436020972084456,0.8517783760804875
